Id;From-User;To-User;Text
1660483007898337283;talo ?? — joki genshin! pls @ aft DM ?;;RT @buerbatos: ??HI HIIII! dalam rangka ak akhirny lulus (anjay), ak mw ngsih special offer nih! setiap joki di bawah 10k bakal dapet disko…
1660482054860214272;?;;"RT @ofMagique: Help RT, please? Thank you! ?

Hayi. Jillie datang dengan ready stock spesial ? ZEROBASEONE ? yang bisa langsung diangkut. H…"
1660481212002222080;awa ? joki genshin ?? open;;RT @buerbatos: ??HI HIIII! dalam rangka ak akhirny lulus (anjay), ak mw ngsih special offer nih! setiap joki di bawah 10k bakal dapet disko…
1660480937204011008;Risu open!;;RT @buerbatos: ??HI HIIII! dalam rangka ak akhirny lulus (anjay), ak mw ngsih special offer nih! setiap joki di bawah 10k bakal dapet disko…
1660480765178818562;ija??—OPEN! disc 15%;;"??HI HIIII! dalam rangka ak akhirny lulus (anjay), ak mw ngsih special offer nih! setiap joki di bawah 10k bakal dapet diskon 10% dan joki di atasnya dapet diskon 15% ingyh ????

brlaku smpe tanggal 31 mei ajh krna ujian skolahku kmren sminggu 3 hari doang sooo grab it fast???? https://t.co/mAKalzhQjd"
1660478503421366272;Hara ? App Premium;;"RT @ofMagique: Help RT, please? Thank you! ?

Hayi. Jillie datang dengan ready stock spesial ? ZEROBASEONE ? yang bisa langsung diangkut. H…"
1660478342230069249;open apk prem;;"RT @ofMagique: Help RT, please? Thank you! ?

Hayi. Jillie datang dengan ready stock spesial ? ZEROBASEONE ? yang bisa langsung diangkut. H…"
1660478254069985280;Jillie: ?? READY STOCK ZB1;;"Help RT, please? Thank you! ?

Hayi. Jillie datang dengan ready stock spesial ? ZEROBASEONE ? yang bisa langsung diangkut. Harga bisa dilihat di ALT, ada diskon kalau beli banyak lho!

Payment via QRIS dan all e-wallet. Go grab yours! ????

#zonauang https://t.co/uBelDO2vId"
1660432799730663424;InBengkulu;;SPESIAL AKHIR BULAN MEI 2023! Inilah 30 Kode Promo Gojek dan Grab, Auto Dapatkan Diskon Cashback 90 Persen - Dicintai https://t.co/FUmweDeTd3
1660344496318742528;Gadogadocom | yang promo;;"RT @gado2shangdian: Aku nemu promo menarik di Lazada nih. Yuk coba lihat!
Nama Produk:  Grab Mart Voucher Value Rp 100.000 - Digital Code
H…"
